spec,estimate,std_error,conf_low,conf_high,p_value,rep,scenario,att_true,treat_share,n_units,n_obs
base,0.13631817827596004,0.014380135289888704,0.10813363101496475,0.16450272553695536,3.83773714270808e-21,40,jensen_full_like,0.1112,0.4882,5000,10000
tvc,0.11613599170017962,0.014343207991603484,0.08802382061386971,0.14424816278648953,7.02006868340762e-16,40,jensen_full_like,0.1112,0.4882,5000,10000
safe,0.10450975847407588,0.014702821661690004,0.07569275754604812,0.13332675940210365,1.3418414413749434e-12,40,jensen_full_like,0.1112,0.4882,5000,10000
full,0.09398247829408543,0.014639187128310025,0.06529019875965544,0.12267475782851542,1.4896586914110542e-10,40,jensen_full_like,0.1112,0.4882,5000,10000
base,0.14003838904522345,0.014136419982992268,0.11233151500822629,0.1677452630822206,6.354069119704828e-23,41,jensen_full_like,0.1112,0.4708,5000,10000
tvc,0.1256631277386192,0.014245268216130097,0.09774291508489108,0.15358334039234733,1.5372670751690444e-18,41,jensen_full_like,0.1112,0.4708,5000,10000
safe,0.11503891355165469,0.014441530030002826,0.08673403481119552,0.14334379229211386,2.016329080472537e-15,41,jensen_full_like,0.1112,0.4708,5000,10000
full,0.10736113544082336,0.014477273541467784,0.07898620070521187,0.13573607017643485,1.4120104441258418e-13,41,jensen_full_like,0.1112,0.4708,5000,10000
base,0.11915166344829607,0.014528877359593554,0.09067558708769331,0.14762773980889882,3.002405780789637e-16,42,jensen_full_like,0.1112,0.4882,5000,10000
tvc,0.10490629898727309,0.014655051417250167,0.0761829260178801,0.13362967195666609,9.348624397599868e-13,42,jensen_full_like,0.1112,0.4882,5000,10000
safe,0.08770576913323432,0.014760011426437455,0.05877667832601724,0.11663485994045139,3.0041441292288145e-9,42,jensen_full_like,0.1112,0.4882,5000,10000
full,0.08094346886141539,0.014820583073953219,0.05189565980658316,0.10999127791624762,4.948135914354436e-8,42,jensen_full_like,0.1112,0.4882,5000,10000
base,0.14287118501396867,0.014430615947133067,0.1145876974828585,0.17115467254507882,6.716370049543578e-23,43,jensen_full_like,0.1112,0.4748,5000,10000
tvc,0.13040002740072085,0.014521124978721751,0.10193914542742126,0.15886090937402042,3.7644294850306624e-19,43,jensen_full_like,0.1112,0.4748,5000,10000
safe,0.10992012673443448,0.014740866796633816,0.08102855871212988,0.13881169475673907,1.0390083675525328e-13,43,jensen_full_like,0.1112,0.4748,5000,10000
full,0.10374202767291289,0.014774994819312286,0.07478356995529493,0.13270048539053086,2.4895212565664045e-12,43,jensen_full_like,0.1112,0.4748,5000,10000
base,0.13215465944706864,0.014483163005855691,0.10376818157336862,0.16054113732076866,1.0218351649079089e-19,44,jensen_full_like,0.1112,0.4692,5000,10000
tvc,0.11728431003793939,0.014578002385165646,0.088711950396475725,0.14585666967940306,1.0658207253875645e-15,44,jensen_full_like,0.1112,0.4692,5000,10000
safe,0.10173420622626501,0.0147569278703613,0.0728111590779015,0.13065725337462852,6.09759189903982e-12,44,jensen_full_like,0.1112,0.4692,5000,10000
full,0.09345045384127416,0.014787404927705397,0.06446767275816147,0.12243323492438686,2.850196563860458e-10,44,jensen_full_like,0.1112,0.4692,5000,10000
base,0.14002013248007847,0.014286561818705912,0.11201898585250983,0.1680212791076471,1.7778836263950513e-22,45,jensen_full_like,0.1112,0.4852,5000,10000
tvc,0.12010754626967969,0.014281123244293991,0.09211705905208567,0.1480980334872737,5.2798023234940797e-17,45,jensen_full_like,0.1112,0.4852,5000,10000
safe,0.10626156390363053,0.014711465267667272,0.07742762181919079,0.1350955059880703,5.849535656412615e-13,45,jensen_full_like,0.1112,0.4852,5000,10000
full,0.09468212692789829,0.014682521571887657,0.06590491344476607,0.12345934041103052,1.235090594764945e-10,45,jensen_full_like,0.1112,0.4852,5000,10000
base,0.13762052970065086,0.014363126604643166,0.10946931885016119,0.16577174055114052,1.4634285739904244e-21,46,jensen_full_like,0.1112,0.4676,5000,10000
